articleId,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-9222795471790223670,4313871021753084020,-4205603734017049464,123378787151399958,-3850803681204406658,-2323511129839590090
-9216926795620865886,-4434534460030275781,7775857588929395558,348632682812866328,4106497696154898573,-2779829118032656703
-9194572880052200111,-5784991738549272379,-7009536306337650657,374352050712569304,-1443593727366384026,-2323511129839590090
-9192549002213406534,-541666025693385823,7508152369854945139,18930987176089166,2841458704671711663,2393972361498749268
-9190737901804729417,1540456027678548167,6525794335263078309,-6308850935767965758,1981046186743381313,5843350704442714396
-9189659052158407108,-6940659689413147290,8200662919796009914,5312357518363318341,-6545872007932025533,-1625217607550912638
-9184137057748005562,-6761163882540291832,8386493184609384928,4815632823882298534,6162786478796754684,-9157338616628196758
-9176143510534135851,3310859214930485296,-7009536306337650657,4313871021753084020,123378787151399958,4815632823882298534
-9172673334835262304,-5636731245639685654,6157037646878010131,4815632823882298534,751528815916485437,270443693434886127
-9171475473795142532,-2711301039947937868,3353902017498793780,-4110354420726924665,4849766494522371290,1485652648052127324
-9166778629773133902,215332765550420709,5619251370090681244,1805789466376069146,-115892576593938933,-4503975842879662368
-9161596996229760398,-8254222281357012124,-5037827401452845772,-8968101771604200516,6044362651232258738,123378787151399958
-9160910454530522563,-1617279065634731389,-3487500907059331343,-799315203186826480,-8189315446782327370,-5500597021296520708
-9157338616628196758,2617330491231854367,123378787151399958,1012456848389051365,-5082274522455747241,-5843518165523212471
-9153494109165200346,-9153494109165200346,8297658253225035519,-7492067511846042603,-5791454671270548045,-8762137947059829459
-9152398073968262186,-9028990334396397584,5795281877636738272,-6074661548047199165,-6499865726739947794,-4541461982704074404
-9147114693160126293,-8119612270825155371,4909630283317268181,-2697906762425596568,8856169137131817223,-1447641181396994093
-9137036168156595470,-1630229587164086350,3575694866055127253,7071371416976898441,6384824828701919724,-5014627593450767720
-9128741757954228992,-8658069499367979499,-8947720860550700506,2255878226385826814,-4550355627706401135,-4386371945374980231
-9128652074338368262,2399228553079505025,-3269885695260066314,2220561310072186802,-8068727428160395745,-1917202688559171732
-9107331682787867601,-605114438206384896,3035329611795434601,-2855910583928922225,-6993279786012379694,5842191581670322333
-9105040345021932755,8869575677747285539,6341647533150019811,123378787151399958,1115750778137998115,-8968101771604200516
-9103776596534246502,-5798690764728257756,6664082205633624486,-8723568727518869245,6097677219931837830,-7454907763335725103
-9102431381393428051,7078276984547732873,-9102431381393428051,6237714845306489877,-5198756378866433953,-3790313320969344469
-9100490342054218852,4036103329046553070,-6273159470243757969,8963938873430212934,3293246847422795557,2399228553079505025
-9099155556042679205,-1178371721262103855,-5794047401651735687,-5843518165523212471,4396754138692995627,-583471248660258378
-9095002324981651252,4396754138692995627,-502840688786875793,-5843518165523212471,240943776326872028,-329139582593571060
-9092333155845304874,6206342468637502921,5779887740609126631,-8254222281357012124,4161491675236615151,5545306236636747547
-9090514312860140897,-4374331682165863764,7036087807129071010,9128267824356972069,1266958185239582088,-1024046541613287684
-9089854794058353436,3609315114795782005,-434149774629603391,-7895534832212398576,-1917202688559171732,3064370296170038610
-9086955082453789880,5395868751435718725,245828856632598563,-9045753673721269477,-5410531116380081703,-4126288159365354498
-9083294960368598209,7071371416976898441,3575694866055127253,-1630229587164086350,6384824828701919724,-595851741330881198
-9081753261356157170,-6761163882540291832,123378787151399958,9209886322932807692,231281690254211527,-8968101771604200516
-9080873096647717414,6765368095966422513,7511744555558105059,-6765871608738223618,8982094176562780806,-6308850935767965758
-9076501258717815738,-3944300307678659798,-721732705314803549,6341647533150019811,5779887740609126631,4161491675236615151
-9073210245497295284,8378863480597222815,216869981229779312,-3883591366197282127,6591221581057159843,4306804750094230211
-9071883412530082330,-6739959707791598779,162771765556771108,408283689595887456,-7162567255723313045,4843782008053284888
-9064100704535292718,-958925381525830552,-4239579488204604851,7434270606888620096,-4233809085822159066,1128840733277618400
-9056114023474725450,5135371516547401748,6908884359295619150,5328558001212551235,-4640750981890093183,-3660106964555224100
-9055044275358686874,-6792965795755857419,4338940510328721138,-8123488152283046553,-3061741807736367554,-8641360668993633978
-9050450867630628092,-7766518409111702133,3980405883168341377,7655627888058923987,-7442296890640709658,-6940659689413147290
-9045753673721269477,-9086955082453789880,245828856632598563,5395868751435718725,-7384231993217222764,-5458316826145145813
-9041823059579281174,-434149774629603391,-9089854794058353436,3609315114795782005,3064370296170038610,1356221992133852808
-9041546321432974047,2572662123697831414,6800965548226529308,-1101361754763388054,-1022885988494278200,-6499865726739947794
-9040419159428373932,-2323511129839590090,-7666273193533605701,-5403733687257676872,123378787151399958,-5082274522455747241
-9039021554659316935,1577045425286888616,2719909253419802298,-8245663037926520114,-1138633255366005559,-7527881206365368
-9033346036688923648,-78066964941874046,8587620342631480154,-2554512494756911972,5313335392004163852,2244894675266276573
-9033211547111606164,5211673327552264703,5250363310227021277,-7126520323752764957,4877833951599818487,1328618437884612347
-9028990334396397584,-9152398073968262186,-6074661548047199165,6817244649248188271,-1123543351704082417,5795281877636738272
-9020955625521881630,-5082274522455747241,123378787151399958,-6859363289291329827,231281690254211527,-2323511129839590090
-9019582414165805420,-4487024160266973763,-6772940823843058601,-1383778823073811714,2051327203770554158,6162786478796754684
-9019233957195913605,4563006651994272837,-4386371945374980231,-7009536306337650657,-6584408680441477889,123378787151399958
-9007594455502730692,-9041823059579281174,1356221992133852808,1532206435917316688,-3792933059425955471,5761988486867612282
-9002191823887486987,4575580212020245658,162771765556771108,5350829677696205474,3168079495368669052,3035329611795434601
-8996656559398843485,-5690023155612846030,-1452340812018195881,3367026768872537336,123378787151399958,231281690254211527
-8992803137960175254,8586403905004879205,880612740433495828,7088167897470452815,7526364197140419661,-5238066650780855302
-8992201526199201450,-986193709330758766,787067277772219433,2607211459879791691,8712996026808754180,-912681925384819247
-8984665034930053829,65053321054180411,-3555513869558669392,-4600611344822394376,4702453495211185350,7498047411414226273
-8980834789053459155,-1415040208471067980,5082053563644129584,-6308850935767965758,-6765871608738223618,6428429126612898364
-8971085667828564532,-3319960804317299025,-1926525896637230556,-7165716941095296287,5619251370090681244,4195778828921942020
-8968101771604200516,231281690254211527,2639926854188906104,1115750778137998115,4313871021753084020,-5082274522455747241
-8964534883296838326,717471739656838182,1031060816592502094,4877833951599818487,-2871347907044769386,5211673327552264703
-8962700386317589038,738761744030347929,-6133746337603876146,809601605585939618,-36844712915106340,-8734181034726403477
-8954346068661072425,-9083294960368598209,216869981229779312,8378863480597222815,8339561640071198727,1561244083438776495
-8950763842769120954,-1839591250599587429,3149164017776669829,6650072898902843826,6097677219931837830,2255878226385826814
-8949113594875411859,123378787151399958,3995377148178067553,-5843518165523212471,8386493184609384928,-4386371945374980231
-8948234514303933700,123378787151399958,-2323511129839590090,-8254222281357012124,1115750778137998115,484986956330644320
-8947720860550700506,-4386371945374980231,-2167839778474325326,1012456848389051365,-5843518165523212471,-788035419968530567
-8942026248671582808,-5829979886567267504,-4218676349553328084,-5179258585851879449,2731915238980099593,3328253785421705444
-8939172344092554931,8545647269051113523,3750772607644674028,-4833307637594287163,-8520302351158933500,2841545035570793472
-8937070974333045193,2388097612905924826,2314077149264083254,-306538960798971040,2625883933130361261,4945121243335041737
-8935051432668167578,-504935756748713175,3687286164936910007,5232169374213306041,3456446200772320915,6569723785655740276
-8934199835393138432,-393060967458342665,-2323511129839590090,4815632823882298534,123378787151399958,-6859363289291329827
-8933526098329881084,-6654470039478316910,2508620055362300376,2277184202014276839,4068119742428755460,1106203543388094548
-8913397556833789413,2231749805468232267,-4027027091658759481,-7387185690512762935,5036201777135800491,-4145260601063545880
-8909927294729358771,-9153494109165200346,8297658253225035519,-7492067511846042603,-5791454671270548045,-8762137947059829459
-8908991577172785311,-6778286518036232293,3577117590019014785,966067567430037498,-4615575698508618335,1433393829724383645
-8900307211613973542,5281570276277574938,638282658987724754,6304895356046683527,430255078684584595,-4505450219733822767
-8900113512825364282,-8194774279664546436,2727743992157210358,-4700714777342103147,5929055844564382383,7606744605433799135
-8885776096632729273,-3675009040647936899,-5082274522455747241,-5255285107284514595,231281690254211527,-5088157426675091741
-8879983698341300928,8938071859536254465,5779887740609126631,-7009536306337650657,6341647533150019811,3880098804615440102
-8876785823151614444,6678691743269420670,4306804750094230211,216869981229779312,-6570327055377820618,7943906961970828120
-8864073373672512525,-7805090055463938263,4815632823882298534,4563006651994272837,-5691384416070374740,2639926854188906104
-8863047175241170722,8836508987743809103,3293246847422795557,8968837261991914049,4479576054067772847,-6215634663594744290
